Species,Individual,SLA_mm2_mg,LWC_mgmg
ERALEH,1,11.39132058,0.501467417
ERALEH,2,8.110899155,0.300671033
ERALEH,3,19.21261563,0.713450842
ERALEH,4,5.368098722,0.16012936
ERALEH,5,8.912176854,0.538363947
ERALEH,6,9.598594776,0.408485571
ERALEH,7,10.43248894,0.534956813
ERALEH,8,5.805145329,0.19319332
ERALEH,9,16.54564869,0.768736881
ERALEH,10,12.77635298,0.555815172
ERALEH,41,1767.80303,0.997313797
ERALEH,42,6.029599937,0.044966421
ERALEH,43,10.33024697,0.534854468
ERALEH,44,8.37874477,0.322401025
ERALEH,45,5.672072585,0.24893797
ERALEH,46,12.20714588,0.506857244
ERALEH,47,239.5061728,0.979845733
ERALEH,48,18.21196646,0.653780669
ERALEH,49,15.12359231,0.626551481
ERALEH,50,9.649242346,0.48141064
DIGCAL,1,13.94465361,0.621301775
DIGCAL,2,33.63983147,0.818024524
DIGCAL,3,11.80891577,0.418238686
DIGCAL,4,29.88650318,0.805169289
DIGCAL,5,16.87812024,0.609121397
DIGCAL,6,22.49717349,0.73443039
DIGCAL,7,10.59240162,0.557071151
DIGCAL,8,14.18509633,0.623319779
DIGCAL,9,30.46802842,0.790986041
DIGCAL,10,23.36937298,0.727780604
DIGCAL,41,13.39895631,0.594563217
DIGCAL,42,14.15536086,0.523046176
DIGCAL,43,182.35655,0.969409609
DIGCAL,44,28.32982436,0.724353674
DIGCAL,45,23.29380086,0.783881969
DIGCAL,46,15.26164384,0.537542959
DIGCAL,47,37.12103408,0.848818618
DIGCAL,48,12.53670899,0.543258789
DIGCAL,49,28.1605529,0.808608059
DIGCAL,50,36.22132254,0.854506185
HOPOBT,1,8.730740348,0.520861573
HOPOBT,2,12.02628968,0.638214144
HOPOBT,3,9.46072657,0.479420133
HOPOBT,4,14.03046767,0.568625467
HOPOBT,5,15.63110022,0.682863541
HOPOBT,6,47.24796275,0.8752481
HOPOBT,7,15.09866899,0.661588202
HOPOBT,8,8.649569749,0.387228014
HOPOBT,9,10.98477967,0.592933124
HOPOBT,10,8.989449078,0.403021102
HOPOBT,41,16.80145078,0.706705426
HOPOBT,42,13.01867209,0.604487421
HOPOBT,43,8.331753288,0.459137154
HOPOBT,44,15.77713911,0.675398883
HOPOBT,45,10.09475516,0.467131514
HOPOBT,46,9.969079366,0.450087843
HOPOBT,47,18.41837609,0.661394965
HOPOBT,48,8.874499484,0.436847629
HOPOBT,49,16.61541558,0.689260374
HOPOBT,50,15.6720277,0.587430193
PROVEL,1,,0.5047261
PROVEL,2,,0.495790978
PROVEL,3,,0.481011997
PROVEL,4,,0.482204363
PROVEL,5,,0.515752122
PROVEL,6,,0.564610164
PROVEL,7,,0.406747086
PROVEL,8,,0.403159776
PROVEL,9,,0.514962467
PROVEL,10,,0.480903473
PROVEL,41,,0.435528224
PROVEL,42,,0.293129294
PROVEL,43,,0.468876277
PROVEL,44,,0.314249716
PROVEL,45,,0.52070735
PROVEL,46,,0.438866566
PROVEL,47,,0.493883608
PROVEL,48,,0.458721296
PROVEL,49,,0.435342543
PROVEL,50,,0.48195731
