plot,site,llg,ms_canopy,plant_cover,exotic_grass,native_forb,native_grass,native_shrub
1,Treatment,10,FALSE,14.5,10,4,0.5,0
10,Treatment,30,FALSE,30,30,0,0,0
100,Treatment,0,TRUE,11.5,0,1,10.5,0
12,Treatment,0,FALSE,0,0,0,0,0
14,Treatment,0,FALSE,0,0,0,0,0
16,Treatment,10,FALSE,11.5,10,0,1,0.5
19,Treatment,0.5,TRUE,12,0.5,0.5,0.5,10.5
21,Treatment,3,TRUE,7,3,0,0.5,3.5
22,Treatment,0,TRUE,4.5,0,1,3,0.5
23,Treatment,0.5,FALSE,22.5,0.5,1.5,20.5,0
26,Treatment,10,FALSE,31,10,1,0,20
28,Treatment,0.5,FALSE,1.5,0.5,1,0,0
29,Treatment,0,FALSE,3.5,0,0,3.5,0
36,Treatment,3,FALSE,13,3,0,10,0
4,Treatment,3,FALSE,3,3,0,0,0
40,Treatment,10,FALSE,10.5,10,0,0,0.5
42,Treatment,0,TRUE,8,0,1.5,3.5,3
48,Treatment,0.5,FALSE,0.5,0.5,0,0,0
49,Treatment,0.5,FALSE,0.5,0.5,0,0,0
5,Treatment,0.5,FALSE,4.5,0.5,1,3,0
52,Treatment,0,FALSE,0.5,0,0,0.5,0
54,Treatment,0,FALSE,0.5,0,0,0.5,0
55,Treatment,0.5,FALSE,2.5,0.5,1,0.5,0.5
57,Treatment,0,FALSE,3.5,0,3,0.5,0
58,Treatment,0.5,FALSE,1,0.5,0,0,0.5
6,Treatment,0.5,FALSE,10.5,0.5,0,0,10
60,Treatment,10,FALSE,10.5,10,0.5,0,0
61,Treatment,0,FALSE,4,0,0.5,3,0.5
62,Treatment,0.5,FALSE,11.5,0.5,5,6,0
63,Treatment,3,FALSE,3.5,3,0,0,0.5
65,Treatment,0,FALSE,5,3,1,1,0
67,Treatment,3,FALSE,4,3,0.5,0.5,0
68,Treatment,0,FALSE,3,0,0,0,3
70,Treatment,0.5,FALSE,3.5,0.5,0,0,3
72,Treatment,3,FALSE,4,3,1,0,0
73,Treatment,0,TRUE,10.5,0,0.5,0,10
74,Treatment,0.5,FALSE,1,0.5,0,0,0.5
75,Treatment,0,TRUE,0.5,0,0,0,0.5
77,Treatment,0,FALSE,1,0,1,0,0
79,Treatment,3,FALSE,3.5,3,0,0.5,0
80,Treatment,0,TRUE,37.5,0,4.5,33,0
81,Treatment,0,TRUE,17.5,0.5,5.5,1.5,10
84,Treatment,0,FALSE,1.5,0,0.5,1,0
86,Treatment,0.5,FALSE,1.5,0.5,0.5,0.5,0
88,Treatment,0,FALSE,3.5,3,0,0.5,0
89,Treatment,0.5,FALSE,1.5,0.5,0,0.5,0.5
91,Treatment,10,FALSE,15.5,10,2,3.5,0
94,Treatment,3,FALSE,5.5,3,2,0.5,0
97,Treatment,0,FALSE,3.5,0,0.5,3,0
98,Treatment,0,FALSE,3.5,0,0,0,3.5
C1,Control,0,TRUE,0.5,0,0,0,0.5
C10,Control,0,FALSE,0.5,0,0,0.5,0
C11,Control,20,FALSE,20,20,0,0,0
C12,Control,30,FALSE,30.5,30,0,0,0.5
C13,Control,0,FALSE,0,0,0,0,0
C14,Control,0,TRUE,6,0,0,3,3
C15,Control,3,FALSE,3,3,0,0,0
C16,Control,10,FALSE,10,10,0,0,0
C17,Control,0,TRUE,3.5,0,0.5,3,0
C18,Control,0,FALSE,0,0,0,0,0
C19,Control,0,FALSE,0.5,0,0,0,0.5
C2,Control,0.5,TRUE,1.5,0.5,0,1,0
C20,Control,3,FALSE,4.5,3,0.5,0.5,0.5
C21,Control,0,TRUE,1,0,1,0,0
C22,Control,0.5,FALSE,1.5,0.5,0,0.5,0.5
C23,Control,0,FALSE,0,0,0,0,0
C24,Control,0,TRUE,0,0,0,0,0
C25,Control,3,FALSE,4.5,3,0,1,0.5
C26,Control,0,FALSE,12,0,11,1,0
C27,Control,0,FALSE,1,0,1,0,0
C28,Control,3,FALSE,3,3,0,0,0
C29,Control,3,FALSE,3,3,0,0,0
C3,Control,0,FALSE,13,0,0,10,3
C30,Control,30,FALSE,30,30,0,0,0
C31,Control,10,FALSE,13,10,0,0,3
C32,Control,0.5,FALSE,0.5,0.5,0,0,0
C33,Control,10,FALSE,10,10,0,0,0
C34,Control,0,TRUE,43,0,0,0,43
C35,Control,20,FALSE,22,20,1.5,0.5,0
C36,Control,3,FALSE,3.5,3,0,0,0.5
C37,Control,0.5,FALSE,0.5,0.5,0,0,0
C38,Control,0,FALSE,5.5,0,2,3.5,0
C39,Control,0.5,FALSE,1,0.5,0,0.5,0
C4,Control,0.5,FALSE,10.5,0.5,0,0,10
C40,Control,3,TRUE,3,3,0,0,0
C41,Control,0.5,TRUE,4,0.5,0,3.5,0
C42,Control,0,TRUE,0,0,0,0,0
C43,Control,3,FALSE,3.5,3,0,0,0.5
C44,Control,0.5,TRUE,5,0.5,1,3,0.5
C45,Control,0,FALSE,4,0,1,3,0
C46,Control,10,FALSE,10.5,10,0,0.5,0
C47,Control,0,TRUE,15,0,4,11,0
C48,Control,0,FALSE,4,0,0.5,3.5,0
C49,Control,3,FALSE,3,3,0,0,0
C5,Control,0,FALSE,4,0,3.5,0.5,0
C50,Control,20,FALSE,21.5,20.5,0.5,0.5,0
C6,Control,0,TRUE,0,0,0,0,0
C7,Control,0.5,FALSE,1.5,0.5,0,0.5,0.5
C8,Control,0,FALSE,2.5,0,2,0.5,0
C9,Control,0,FALSE,0.5,0,0,0.5,0
