SYS,SYS,SYS,SYS,SYS,USERDEF,USERDEF,USERDEF,USERDEF,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,MATCH,MATCH,MATCH,MATCH,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,META,META,META,META,META,META,META
Obs#,Time,Date,configName,configAuthor,remark,,,,gsw,gbw,gtw,E_apparent,VPcham,VPref,VPleaf,VPDleaf,H2O_r,H2O_s,H2O_leaf,leaf_area,leaf_width,flashID,Fo,Fm,Fv/Fm,Fs,Fm',PhiPS2,PS2/1,abs,ETR,TRANS,rh_s,rh_r,Tref,Tmeas,Tleaf,P_atm,flow,flow_s,leak_pct,Qamb,batt,match_time,match_date,rh_adj,type,gsw1sec,gsw2sec,gsw4sec,flr1sec,flr2sec,flr4sec,auto,flow_set,gsw_limit,gsw_period,aw,Bla,Blb,Blc,Bld,Ble,chamber,dark,flash_type,flash_intensity,modrate,flr_limit,flr_period,P1_dur,P2_dur,P3_dur,P1_Fmax,P2_ramp,P2_slp,P3_Fmax,P3_Pred,P3_DeltaF,v_humA,v_humB,v_flowIn,v_flowOut,v_temp,v_irt,v_pres,v_par,v_F,i_LED,b_rhr,m_rhr,span_rhr,b_rhs,m_rhs,span_rhs,z_flowIn,z_flowOut,z_quantum,z_flr,flashId,lciSerNum,lcpSerNum,lcfSerNum,lcrhSerNum,version,configUpdatedAt
,HHMMSS,YYYYMMDD,,,,,,,mol+1m-2s-1,mol+1m-2s-1,mol+1m-2s-1,mmol+1m-2s-1,kPa,kPa,kPa,kPa,mmol+1mol-1,mmol+1mol-1,mmol+1mol-1,cm+2,mm,,,,,,,,,,umol+1m-2s-1,,%,%,C,C,C,kPa,umol+1sec-1,umol+1sec-1,%,umol+1m-2s-1,V,HHMMSS,YYYYMMDD,%,,,,,,,,,umol+1sec-1,(umol+1m-2s-1)s-1,s,,,,,,,,,,umol+1m-2s-1,Hz,s-1,s,ms,ms,ms,,%,,,,,V,V,V,V,V,V,V,V,V,A,,,,,,,,,,,,,,,,,
1,08:00:37,2025-10-07,BANWR,Fern,,,,,0.000477,0.033081,0.000471,0.008001,0.745308,0.717541,2.247928,1.502620,7.983388,8.292323,25.010536,0.441786,7.500000,PSF-01031_20251007080037_abc,0.000000,0.000000,0.000000,96.173645,106.549500,0.097381,0.5,0.80,38.511665,1.000000,39.48,38.00,16.54,19.31,19.31,89.88,1.1,-15.2,1442.6,989,3.656,08:00:22,2025-10-07,6.09,1,-0.000,-0.000,0.000,-0.693,0.565,-0.698,0,150,-9999.000,-9999.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,0,rectangular,7000,500,-9999.000000,-9999.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.470952,2.430540,0.606906,0.573809,0.383016,0.031808,0.046382,1.018552,96.173645,0.000264,2.405086,0.000013,1.000000,2.372866,0.000011,1.000000,0.601157,0.601293,0.106749,0.000000,PSF-01031_20251007080037_abc,PFA-00872,PSA-00872,PSF-01031,RHS-0785,3.0.0,2025-09-27T00:47:32.647Z
2,08:03:40,2025-10-07,BANWR,Fern,,,,,0.006711,0.034744,0.005625,0.013615,0.803715,0.758762,1.019072,0.215358,8.441712,8.941835,11.337829,0.441786,7.500000,PSF-01031_20251007080340_c00,0.000000,0.000000,0.000000,19.775749,39.665939,0.501443,0.5,0.80,24.498272,1.000000,41.15,38.85,17.07,7.19,7.19,89.88,1.2,-16.3,1465.3,122,3.634,08:00:22,2025-10-07,6.09,1,0.001,0.002,0.002,0.010,0.013,-0.014,0,150,-9999.000,-9999.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,0,rectangular,7000,500,-9999.000000,-9999.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.472139,2.432955,0.607196,0.571956,0.374896,-0.100864,0.072519,0.219390,19.775749,0.000277,2.405086,0.000013,1.000000,2.372866,0.000011,1.000000,0.601157,0.601293,0.106749,0.000000,PSF-01031_20251007080340_c00,PFA-00872,PSA-00872,PSF-01031,RHS-0785,3.0.0,2025-09-27T00:47:32.647Z
3,08:10:07,2025-10-07,BANWR,Fern,,,,,-0.017516,0.034339,-0.035753,-0.061055,0.912374,1.116046,1.064137,0.151763,12.419836,10.153279,11.842161,0.441786,7.500000,PSF-01031_20251007081007_a31,0.000000,0.000000,0.000000,19.219280,29.914856,0.357534,0.5,0.80,41.442711,1.000000,43.55,53.28,18.18,7.83,7.83,89.86,1.2,-16.3,1487.5,290,3.630,08:00:22,2025-10-07,6.09,1,0.001,0.003,0.008,0.041,0.021,-0.007,0,150,-9999.000,-9999.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,0,rectangular,7000,500,-9999.000000,-9999.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.492899,2.436298,0.607126,0.571831,0.358490,-0.106612,0.117951,0.373995,19.219280,0.000281,2.405086,0.000013,1.000000,2.372866,0.000011,1.000000,0.601157,0.601293,0.106749,0.000000,PSF-01031_20251007081007_a31,PFA-00872,PSA-00872,PSF-01031,RHS-0785,3.0.0,2025-09-27T00:47:32.647Z
1,08:13:57,2025-10-07,BANWR,Fern,,,,,0.001063,0.034949,0.001032,0.010814,0.887885,0.852438,1.815336,0.927451,9.487978,9.882513,20.205421,0.441786,7.500000,PSF-01031_20251007081357_4b4,0.000000,0.000000,0.000000,40.330051,63.225746,0.362126,0.5,0.80,40.102669,1.000000,40.73,39.11,18.81,15.92,15.92,89.84,1.2,-16.0,1431.0,277,3.631,08:13:46,2025-10-07,3.14,1,-0.000,-0.000,-0.000,-0.042,-0.308,-0.552,0,150,-9999.000,-9999.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,0,rectangular,7000,500,-9999.000000,-9999.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.472237,2.436376,0.607232,0.572520,0.349451,-0.030304,0.211912,0.362075,40.261032,0.000275,2.405086,0.000013,1.000000,2.372866,0.000011,1.000000,0.601157,0.601293,0.106749,0.000000,PSF-01031_20251007081357_4b4,PFA-00872,PSA-00872,PSF-01031,RHS-0785,3.0.0,2025-09-27T00:47:32.647Z
1,08:19:51,2025-10-07,BANWR,Fern,,,,,0.462814,0.034081,0.031743,0.036595,1.025412,0.902556,1.127773,0.102361,10.043327,11.410424,12.549461,0.441786,7.500000,PSF-01031_20251007081951_419,0.000000,0.000000,0.000000,23.972870,41.048527,0.415987,0.5,0.80,72.077248,1.000000,43.99,38.72,19.89,8.68,8.68,89.87,1.2,-16.1,1475.5,433,3.629,08:19:10,2025-10-07,3.99,1,0.030,0.039,0.035,-0.017,0.040,0.148,0,150,-9999.000,-9999.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,0,rectangular,7000,500,-9999.000000,-9999.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.471491,2.439667,0.607080,0.572300,0.334633,-0.116829,0.158767,0.506233,23.972870,0.000280,2.405086,0.000013,1.000000,2.372866,0.000011,1.000000,0.601157,0.601293,0.106749,0.000000,PSF-01031_20251007081951_419,PFA-00872,PSA-00872,PSF-01031,RHS-0785,3.0.0,2025-09-27T00:47:32.647Z
1,08:24:30,2025-10-07,BANWR,Fern,,,,,0.000129,0.033423,0.000128,0.001845,0.936346,0.930024,2.208432,1.272086,10.348865,10.419213,24.574381,0.441786,7.500000,PSF-01031_20251007082430_ce0,0.000000,0.000000,0.000000,55.646896,98.800781,0.436777,0.5,0.80,36.239937,1.000000,39.34,39.07,20.23,19.02,19.02,89.87,1.1,-15.7,1471.7,207,3.626,08:24:22,2025-10-07,7.34,1,0.000,0.000,0.000,0.094,0.037,0.123,0,150,-9999.000,-9999.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,0,rectangular,7000,500,-9999.000000,-9999.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.471959,2.427939,0.606966,0.572933,0.330117,-0.012331,0.181966,0.298046,55.646896,0.000276,2.405086,0.000013,1.000000,2.372866,0.000011,1.000000,0.601157,0.601293,0.106749,0.000000,PSF-01031_20251007082430_ce0,PFA-00872,PSA-00872,PSF-01031,RHS-0785,3.0.0,2025-09-27T00:47:32.647Z
1,08:27:01,2025-10-07,BANWR,Fern,,,,,0.002728,0.034191,0.002526,0.016074,1.008581,0.954783,1.572189,0.563608,10.624873,11.223542,17.495396,0.441786,7.500000,PSF-01031_20251007082701_558,0.000000,0.000000,0.000000,53.480030,89.278938,0.400978,0.5,0.80,42.489433,1.000000,41.59,39.37,20.53,13.69,13.69,89.86,1.2,-16.3,1487.6,265,3.594,08:26:46,2025-10-07,5.76,1,-0.000,0.001,0.001,-0.129,-0.425,0.304,0,150,-9999.000,-9999.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,0,rectangular,7000,500,-9999.000000,-9999.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.472358,2.433538,0.607100,0.571953,0.326153,-0.072863,0.202975,0.351059,53.827286,0.000280,2.405086,0.000013,1.000000,2.372866,0.000011,1.000000,0.601157,0.601293,0.106749,0.000000,PSF-01031_20251007082701_558,PFA-00872,PSA-00872,PSF-01031,RHS-0785,3.0.0,2025-09-27T00:47:32.647Z
1,08:32:31,2025-10-07,BANWR,Fern,,,,,0.001201,0.035239,0.001161,0.016045,1.018544,0.966454,2.237556,1.219012,10.754898,11.334572,24.899988,0.441786,7.500000,PSF-01031_20251007083231_1c9,0.000000,0.000000,0.000000,77.703949,211.920975,0.633335,0.5,0.80,37.854748,1.000000,41.50,39.37,20.73,19.23,19.23,89.86,1.2,-16.1,1431.8,149,3.623,08:32:06,2025-10-07,5.05,1,-0.000,-0.000,-0.000,-0.128,-0.118,-0.342,0,150,-9999.000,-9999.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,0,rectangular,7000,500,-9999.000000,-9999.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.472330,2.434411,0.607283,0.572265,0.323592,-0.015591,0.160015,0.244555,77.703949,0.000283,2.405086,0.000013,1.000000,2.372866,0.000011,1.000000,0.601157,0.601293,0.106749,0.000000,PSF-01031_20251007083231_1c9,PFA-00872,PSA-00872,PSF-01031,RHS-0785,3.0.0,2025-09-27T00:47:32.647Z
