plot,BOUROT,BOUARI,ATRELE,HEXTER,PROVEL,MOLVER,PANICspp,ERALEH,HOFGLA,ARITER,SALTRA,CHENOspp,CALERI,MACTAG,BOUGRA,PORTUspp,SIDAspp,DIGCAL,HEBOBS,SETARspp,IPOMOspp,KALLSspp,BOERHspp,ERIACU,HOPOBT,CROPUM,BOUERI,TALAUR,ARIWAT,GUTSAR,BIDENspp,SOLELA,DESCOV,ISOTEN,AMBCON,ARISTspp,CYPERspp,EUPHOspp,LYCIUspp,ERAECH,ACANEO,ERAINT,SPOCRY,SENGRE
97,3,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,0,0,0,0.5,3,0.5,0.5,10,0.5,0.5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,0,0,0,0,20,0,0,0,0.5,0,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,0,0,0,0,0,0,0,3,0,0,0,0.5,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,,,3,0.5,,0.5,,,,10,,,3,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,3,,,,,,10,0.5,0.5,,,,,,,,,10,0.5,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,
57,3,,,,,3,10,0.5,,,,,,,,,0.5,,,,10,3,0.5,3,,,,,,,,,,,,,,,,,,,,
84,,,,,,,10,,,,,3,,,,,,,,,,,,,3,0.5,,,,,,,,,,,,,,,,,,
94,,,,,,0.5,3,10,10,3,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,,,,0.5,10,3,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,
88,,,,0.5,,,,3,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,,,,,0.5,,20,,,,0.5,,,,,,0.5,,0.5,,,,,,,,0.5,0.5,,,,,,,,,,,,,,,
63,,,,,10,0.5,3,30,,,,,,,,,0.5,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,
89,,,,,0.5,,3,0.5,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,0.5,,,,,0.5,3,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,,,,,,20,0.5,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,20,3,,,,,0.5,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,10,10,3,,,,,10,,30,,,,,,,3,,,,,,0.5,,,0.5,3,0.5,0.5,,,,,,,,,,,
21,,,,,,,0.5,10,0.5,0.5,3,,,,,,0.5,,,,,,,,,,,,,3,,,,0.5,,,,,,,,,,
4,0.5,,,,,,3,10,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,
19,,,,,3,,3,3,0.5,0.5,,,,,,,0.5,3,,,,,,,,,,,,3,,,,,3,0.5,,,,,,,,
26,,,,,3,,,30,0.5,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,3,,,,,,0.5,10,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,,,,,0.5,3,0.5,,3,,,0.5,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,
52,,,,,,,3,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,
54,,,,,,,10,,,,,0.5,,3,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,
62,3,,,,,0.5,3,10,0.5,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,
98,0.5,,0.5,,,,3,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,
70,,,,,3,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,,,,,,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,,,,,,0.5,20,3,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,
5,,,0.5,,,0.5,0.5,3,0.5,0.5,3,3,,,,,,3,,,,,,,,,,0.5,,,,,,,20,,,,,,,,,
81,,,,,0.5,,,,,,0.5,10,,,,,,,,3,10,,,,,,,,,,,,,,,,0.5,0.5,3,3,3,0.5,,
28,0.5,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,
36,,,,,,,,10,,,,,,,,,,10,,3,,,,,,,,,,,,,,,,,,,,,,,,
58,3,,,,,,,3,,,10,3,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,
73,,,10,,10,,10,,,,,30,,,,,,,,,,,10,,,,,,,,,,,,,,,,3,,,,3,
75,,,,,10,,0.5,0.5,,,,,,0.5,,,,,,0.5,,,,,,,,0.5,,,,,,,,,,,,,,,,0.5
42,,,3,,3,,10,,,,,3,,,,,3,,,,,,,,,,,,,,,,,,,,,0.5,,,,,10,
6,,,,,10,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,0.5,30,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,
100,,,,,,,3,0.5,3,,,,,,,0.5,0.5,,,,,,,,10,,,,,,,,,,,,,,,,,,,
10,,,,,,,,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,,,,,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,20,,10,,,,3,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,
16,3,,0.5,,,,3,10,,,,,,,,3,,0.5,,,,,,,,,,,,,,,,0.5,,,,,,,,,,
23,,,,,,3,10,0.5,3,,,20,,3,,,,,,3,,,0.5,,30,,,,,,,10,,,3,,,,,,,,,
12,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,
