plot,distance,direction
26,1.8,90
48,6.6,60
77,2,141
63,1.61,2
89,1.56,69
49,2.65,312
72,3.2,115
14,11.6,280
40,4.25,230
22,1.75,114
21,2.3,39
4,3.5,26
19,2.65,12
57,5.4,177
84,4.8,303
94,5.2,174
67,2.9,246
88,3.4,103
91,4,115
97,11.15,315
65,1.5,295
68,1.9,343
74,6,16
55,1.95,11
61,2.33,97
10,5,199
79,3.3,122
29,1.8,235
16,4.8,284
23,2.4,113
12,5.6,52
52,4.2,291
54,4.7,220
62,2.2,81
98,3.1,43
70,1.4,344
86,7.5,106
60,7.6,347
5,7.1,105
81,3.9,80
28,3.4,160
36,2.75,88
58,3.25,264
73,1.6,14
75,1.5,70
42,1.7,54
6,1.7,38
1,2.5,293
100,1.7,109
