spp,nativity,fun
HOPOBT,native,grass
UNKFAB,native,forb
PANICspp,native,grass
KALLSspp,native,forb
ARITER,native,grass
ERACUR,exotic,grass
UNKFORB1,native,forb
BOUGRA,native,grass
IPOMOspp,native,forb
AMAPAL,native,forb
EUPHOspp,native,forb
SIDAspp,native,forb
BOUROT,native,grass
DIGCAL,native,grass
ARIWAT,native,forb
TALAUR,native,forb
ERALEH,exotic,grass
PROVEL,native,shrub
HOFGLA,native,forb
ALLINC,native,forb
CALERI,native,shrub
GUTSAR,native,shrub
MOLVER,native,forb
ISOTEN,native,shrub
HEBOBS,native,forb
AMBCON,native,forb
BOTBAR,native,grass
SOLELA,native,forb
LYCIUspp,native,shrub
UNKFORB2,native,forb
SENGRE,native,shrub
ERAECH,exotic,grass
BIDENspp,native,forb
CAREXspp,native,grass
PROPAR,native,forb
ERIACU,native,grass
SPOCRY,native,grass
PORTUspp,native,forb
ALLIUspp,native,forb
BOUERI,native,grass
SETARspp,native,grass
BOERHspp,native,forb
CARARI,native,forb
BOUTEspp,native,grass
UnkFb,native,forb
BOUCUR,native,grass
ARISTspp,native,grass
ERAINT,native,grass
DESCOV,native,forb
